Unload Time: 0, Trucker: Cindy 'Truckin' Troubadour' Reed, Company: Big Sky Express, ID Num: C1, Price of Crate: 266, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 200, Trucker: Lisa 'Road Warrior' Parker, Company: Highway Haulers Co., ID Num: C0, Price of Crate: 353, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 200, Trucker: Brad 'Long Hauler' Evans, Company: Green Line Express, ID Num: C0, Price of Crate: 262, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 210, Trucker: Alan 'Highway Heroic' Wilson, Company: Freedom Truck Lines, ID Num: C0, Price of Crate: 254, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 210, Trucker: Nicole 'Rig Rider' Smith, Company: Rocky Mountain Carriers, ID Num: C3, Price of Crate: 426, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 210, Trucker: Heather '18-Wheeler' Reed, Company: Sunset Transport Systems, ID Num: C2, Price of Crate: 343, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 210, Trucker: Olivia 'Speedy Delivery' Young, Company: Eagle Transport Services, ID Num: C0, Price of Crate: 477, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 220, Trucker: Nicole 'Rig Rider' Smith, Company: Rocky Mountain Carriers, ID Num: C2, Price of Crate: 260, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 220, Trucker: Heather '18-Wheeler' Reed, Company: Sunset Transport Systems, ID Num: C1, Price of Crate: 224, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 220, Trucker: Scott 'Freeway Fury' Phillips, Company: Trucker's Choice Transport, ID Num: C2, Price of Crate: 178, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 220, Trucker: Ron 'Freeway Firebrand' Bennett, Company: Golden Wheel Carriers, ID Num: C0, Price of Crate: 362, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 220, Trucker: Kim 'Highway Queen' Brown, Company: Golden Wheel Carriers, ID Num: C2, Price of Crate: 127, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 220, Trucker: Jessica 'Breeze Rider' Martin, Company: Silver Arrow Shipping, ID Num: C3, Price of Crate: 328, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 220, Trucker: Frank 'Big Load' Williams, Company: Trucker's Choice Transport, ID Num: C0, Price of Crate: 195, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 220, Trucker: Eric 'Trucker Trekker' Jenkins, Company: Big Sky Express, ID Num: C3, Price of Crate: 395, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 230, Trucker: Robert 'Cargo Crusader' Foster, Company: Big Sky Express, ID Num: C0, Price of Crate: 449, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 230, Trucker: Nicole 'Rig Rider' Smith, Company: Rocky Mountain Carriers, ID Num: C1, Price of Crate: 411, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 230, Trucker: Heather '18-Wheeler' Reed, Company: Sunset Transport Systems, ID Num: C0, Price of Crate: 238, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 230, Trucker: Linda 'Interstate Star' Moore, Company: American Freightways, ID Num: C3, Price of Crate: 350, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 230, Trucker: Scott 'Freeway Fury' Phillips, Company: Trucker's Choice Transport, ID Num: C1, Price of Crate: 145, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 230, Trucker: Kim 'Highway Queen' Brown, Company: Golden Wheel Carriers, ID Num: C1, Price of Crate: 92, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 230, Trucker: Jessica 'Breeze Rider' Martin, Company: Silver Arrow Shipping, ID Num: C2, Price of Crate: 486, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 230, Trucker: Eric 'Trucker Trekker' Jenkins, Company: Big Sky Express, ID Num: C2, Price of Crate: 111, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 240, Trucker: Nicole 'Rig Rider' Smith, Company: Rocky Mountain Carriers, ID Num: C0, Price of Crate: 114, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 240, Trucker: Linda 'Interstate Star' Moore, Company: American Freightways, ID Num: C2, Price of Crate: 337, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 240, Trucker: Scott 'Freeway Fury' Phillips, Company: Trucker's Choice Transport, ID Num: C0, Price of Crate: 233, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 240, Trucker: Alex 'High Gear' Butler, Company: Yellow Ribbon Logistics, ID Num: C1, Price of Crate: 53, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 240, Trucker: Kim 'Highway Queen' Brown, Company: Golden Wheel Carriers, ID Num: C0, Price of Crate: 449, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 240, Trucker: Jessica 'Breeze Rider' Martin, Company: Silver Arrow Shipping, ID Num: C1, Price of Crate: 320, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 240, Trucker: Angela 'Road Rebel' Adams, Company: Big Sky Express, ID Num: C1, Price of Crate: 264, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 240, Trucker: Eric 'Trucker Trekker' Jenkins, Company: Big Sky Express, ID Num: C1, Price of Crate: 72, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 250, Trucker: Stacy 'Lone Wolf' Evans, Company: Silver Arrow Shipping, ID Num: C3, Price of Crate: 307, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 250, Trucker: Paul 'Transport Titan' Turner, Company: Interstate Logistics, ID Num: C4, Price of Crate: 443, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 250, Trucker: Linda 'Interstate Star' Moore, Company: American Freightways, ID Num: C1, Price of Crate: 55, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 250, Trucker: Alex 'High Gear' Butler, Company: Yellow Ribbon Logistics, ID Num: C0, Price of Crate: 63, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 250, Trucker: Jessica 'Breeze Rider' Martin, Company: Silver Arrow Shipping, ID Num: C0, Price of Crate: 426, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 250, Trucker: Angela 'Road Rebel' Adams, Company: Big Sky Express, ID Num: C0, Price of Crate: 387, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 250, Trucker: Eric 'Trucker Trekker' Jenkins, Company: Big Sky Express, ID Num: C0, Price of Crate: 221, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 260, Trucker: Stacy 'Lone Wolf' Evans, Company: Silver Arrow Shipping, ID Num: C2, Price of Crate: 297, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 260, Trucker: Mike 'Big Rig' Johnson, Company: Golden Wheel Carriers, ID Num: C0, Price of Crate: 78, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 260, Trucker: Paul 'Transport Titan' Turner, Company: Interstate Logistics, ID Num: C3, Price of Crate: 99, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 260, Trucker: Linda 'Interstate Star' Moore, Company: American Freightways, ID Num: C0, Price of Crate: 75, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 270, Trucker: Stacy 'Lone Wolf' Evans, Company: Silver Arrow Shipping, ID Num: C1, Price of Crate: 92, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 270, Trucker: Paul 'Transport Titan' Turner, Company: Interstate Logistics, ID Num: C2, Price of Crate: 209, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 270, Trucker: Olivia 'Speedy Delivery' Young, Company: Sunrise Hauling Co., ID Num: C0, Price of Crate: 330, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 270, Trucker: Brad 'Long Hauler' Evans, Company: Speedy Freight Express, ID Num: C4, Price of Crate: 313, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 270, Trucker: Michael 'Road Rescuer' Murphy, Company: Speedy Freight Express, ID Num: C4, Price of Crate: 65, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 270, Trucker: Lisa 'Road Warrior' Parker, Company: Thunderstruck Transports, ID Num: C0, Price of Crate: 412, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 270, Trucker: Brad 'Highway Harmony' Lewis, Company: Patriot Road Warriors, ID Num: C4, Price of Crate: 114, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 270, Trucker: John 'Truckin' Titan' Young, Company: Blue Horizon Transports, ID Num: C0, Price of Crate: 330, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 280, Trucker: Stacy 'Lone Wolf' Evans, Company: Silver Arrow Shipping, ID Num: C0, Price of Crate: 274, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 280, Trucker: Mark 'Gritty Gearshift' Mitchell, Company: Cargo Masters Inc., ID Num: C1, Price of Crate: 206, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 280, Trucker: Paul 'Transport Titan' Turner, Company: Interstate Logistics, ID Num: C1, Price of Crate: 464, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 280, Trucker: Shane 'Rig Rider' Price, Company: Windy City Carriers, ID Num: C3, Price of Crate: 285, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 280, Trucker: Brad 'Long Hauler' Evans, Company: Speedy Freight Express, ID Num: C3, Price of Crate: 53, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 280, Trucker: Michael 'Road Rescuer' Murphy, Company: Speedy Freight Express, ID Num: C3, Price of Crate: 285, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 280, Trucker: Brad 'Highway Harmony' Lewis, Company: Patriot Road Warriors, ID Num: C3, Price of Crate: 462, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 290, Trucker: Mark 'Gritty Gearshift' Mitchell, Company: Cargo Masters Inc., ID Num: C0, Price of Crate: 369, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 290, Trucker: Paul 'Transport Titan' Turner, Company: Interstate Logistics, ID Num: C0, Price of Crate: 189, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 290, Trucker: Shane 'Rig Rider' Price, Company: Windy City Carriers, ID Num: C2, Price of Crate: 307, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 290, Trucker: Paul 'Transport Titan' Turner, Company: Green Line Express, ID Num: C1, Price of Crate: 286, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 290, Trucker: Brad 'Long Hauler' Evans, Company: Speedy Freight Express, ID Num: C2, Price of Crate: 480, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 290, Trucker: Michael 'Road Rescuer' Murphy, Company: Speedy Freight Express, ID Num: C2, Price of Crate: 413, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 290, Trucker: Carlos 'Cargo Commander' Foster, Company: Starlight Freight Services, ID Num: C4, Price of Crate: 412, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 290, Trucker: Brad 'Highway Harmony' Lewis, Company: Patriot Road Warriors, ID Num: C2, Price of Crate: 339, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 290, Trucker: Sarah 'Highway Harmonizer' Turner, Company: Sunrise Hauling Co., ID Num: C4, Price of Crate: 317, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 300, Trucker: Lauren 'Cargo Queen' Turner, Company: Starlight Freight Services, ID Num: C2, Price of Crate: 97, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 300, Trucker: Shane 'Rig Rider' Price, Company: Windy City Carriers, ID Num: C1, Price of Crate: 400, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 300, Trucker: Paul 'Transport Titan' Turner, Company: Green Line Express, ID Num: C0, Price of Crate: 392, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 300, Trucker: Brad 'Long Hauler' Evans, Company: Speedy Freight Express, ID Num: C1, Price of Crate: 395, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 300, Trucker: Michael 'Road Rescuer' Murphy, Company: Speedy Freight Express, ID Num: C1, Price of Crate: 105, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 300, Trucker: Carlos 'Cargo Commander' Foster, Company: Starlight Freight Services, ID Num: C3, Price of Crate: 126, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 300, Trucker: Brad 'Highway Harmony' Lewis, Company: Patriot Road Warriors, ID Num: C1, Price of Crate: 340, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 300, Trucker: Sarah 'Highway Harmonizer' Turner, Company: Sunrise Hauling Co., ID Num: C3, Price of Crate: 488, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 310, Trucker: Lauren 'Cargo Queen' Turner, Company: Starlight Freight Services, ID Num: C1, Price of Crate: 308, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 310, Trucker: Frank 'Big Load' Williams, Company: Sunrise Hauling Co., ID Num: C0, Price of Crate: 282, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 310, Trucker: Mike 'Diesel Daredevil' Mitchell, Company: Sunrise Hauling Co., ID Num: C4, Price of Crate: 58, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 310, Trucker: Shane 'Rig Rider' Price, Company: Windy City Carriers, ID Num: C0, Price of Crate: 461, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 310, Trucker: Brad 'Long Hauler' Evans, Company: Speedy Freight Express, ID Num: C0, Price of Crate: 360, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 310, Trucker: Michael 'Road Rescuer' Murphy, Company: Speedy Freight Express, ID Num: C0, Price of Crate: 495, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 310, Trucker: Carlos 'Cargo Commander' Foster, Company: Starlight Freight Services, ID Num: C2, Price of Crate: 313, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 310, Trucker: Brad 'Highway Harmony' Lewis, Company: Patriot Road Warriors, ID Num: C0, Price of Crate: 441, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 310, Trucker: Sarah 'Highway Harmonizer' Turner, Company: Sunrise Hauling Co., ID Num: C2, Price of Crate: 489, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 320, Trucker: Lauren 'Cargo Queen' Turner, Company: Starlight Freight Services, ID Num: C0, Price of Crate: 91, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 320, Trucker: Mike 'Diesel Daredevil' Mitchell, Company: Sunrise Hauling Co., ID Num: C3, Price of Crate: 406, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 320, Trucker: Emily 'Tanker Trailblazer' Hall, Company: Golden Wheel Carriers, ID Num: C3, Price of Crate: 426, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 320, Trucker: Carlos 'Cargo Commander' Foster, Company: Starlight Freight Services, ID Num: C1, Price of Crate: 486, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 320, Trucker: Sarah 'Highway Harmonizer' Turner, Company: Sunrise Hauling Co., ID Num: C1, Price of Crate: 230, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 330, Trucker: Patrick 'Road Rambler' Stewart, Company: Freedom Truck Lines, ID Num: C0, Price of Crate: 291, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 330, Trucker: Mike 'Diesel Daredevil' Mitchell, Company: Sunrise Hauling Co., ID Num: C2, Price of Crate: 279, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 330, Trucker: Holly 'Highway Healer' Peterson, Company: Eagle Transport Services, ID Num: C4, Price of Crate: 279, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 330, Trucker: Emily 'Tanker Trailblazer' Hall, Company: Golden Wheel Carriers, ID Num: C2, Price of Crate: 176, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 330, Trucker: Carlos 'Cargo Commander' Foster, Company: Starlight Freight Services, ID Num: C0, Price of Crate: 367, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 330, Trucker: Sarah 'Highway Harmonizer' Turner, Company: Sunrise Hauling Co., ID Num: C0, Price of Crate: 301, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 340, Trucker: Chris 'Thunderstruck' Martin, Company: Yellow Ribbon Logistics, ID Num: C3, Price of Crate: 168, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 340, Trucker: Mike 'Diesel Daredevil' Mitchell, Company: Sunrise Hauling Co., ID Num: C1, Price of Crate: 152, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 340, Trucker: Holly 'Highway Healer' Peterson, Company: Eagle Transport Services, ID Num: C3, Price of Crate: 202, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 340, Trucker: Emily 'Tanker Trailblazer' Hall, Company: Golden Wheel Carriers, ID Num: C1, Price of Crate: 271, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 340, Trucker: Frank 'Big Load' Williams, Company: Golden Wheel Carriers, ID Num: C3, Price of Crate: 68, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 340, Trucker: Chris 'Haulin' Hope' Martinez, Company: Patriot Road Warriors, ID Num: C0, Price of Crate: 59, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 340, Trucker: Karen 'Lone Wolf' Carter, Company: American Freightways, ID Num: C1, Price of Crate: 476, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 350, Trucker: Chris 'Thunderstruck' Martin, Company: Yellow Ribbon Logistics, ID Num: C2, Price of Crate: 459, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 350, Trucker: Vanessa 'Rolling Thunder' Wright, Company: Patriot Road Warriors, ID Num: C1, Price of Crate: 499, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 350, Trucker: Mike 'Diesel Daredevil' Mitchell, Company: Sunrise Hauling Co., ID Num: C0, Price of Crate: 390, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 350, Trucker: Holly 'Highway Healer' Peterson, Company: Eagle Transport Services, ID Num: C2, Price of Crate: 467, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 350, Trucker: Emily 'Tanker Trailblazer' Hall, Company: Golden Wheel Carriers, ID Num: C0, Price of Crate: 496, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 350, Trucker: Frank 'Big Load' Williams, Company: Golden Wheel Carriers, ID Num: C2, Price of Crate: 142, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 350, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Rocky Mountain Carriers, ID Num: C1, Price of Crate: 257, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 350, Trucker: Karen 'Lone Wolf' Carter, Company: American Freightways, ID Num: C0, Price of Crate: 325, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 350, Trucker: Vanessa 'Rolling Thunder' Wright, Company: Interstate Logistics, ID Num: C1, Price of Crate: 372, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 360, Trucker: Chris 'Thunderstruck' Martin, Company: Yellow Ribbon Logistics, ID Num: C1, Price of Crate: 120, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 360, Trucker: Vanessa 'Rolling Thunder' Wright, Company: Patriot Road Warriors, ID Num: C0, Price of Crate: 436, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 360, Trucker: Holly 'Highway Healer' Peterson, Company: Eagle Transport Services, ID Num: C1, Price of Crate: 64, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 360, Trucker: Frank 'Big Load' Williams, Company: Golden Wheel Carriers, ID Num: C1, Price of Crate: 293, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 360, Trucker: Jessica 'The Truckin' Trooper' Lewis, Company: Highway Haulers Co., ID Num: C1, Price of Crate: 88, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 360, Trucker: Robert 'Drivin' Dreamer' Perry, Company: Rocky Mountain Carriers, ID Num: C0, Price of Crate: 417, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 360, Trucker: Vanessa 'Rolling Thunder' Wright, Company: Interstate Logistics, ID Num: C0, Price of Crate: 211, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 370, Trucker: Chris 'Thunderstruck' Martin, Company: Yellow Ribbon Logistics, ID Num: C0, Price of Crate: 142, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 370, Trucker: Stacy 'Lone Wolf' Evans, Company: Speedy Freight Express, ID Num: C0, Price of Crate: 147, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 370, Trucker: Holly 'Highway Healer' Peterson, Company: Eagle Transport Services, ID Num: C0, Price of Crate: 407, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 370, Trucker: Frank 'Big Load' Williams, Company: Golden Wheel Carriers, ID Num: C0, Price of Crate: 346, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 370, Trucker: Jessica 'The Truckin' Trooper' Lewis, Company: Highway Haulers Co., ID Num: C0, Price of Crate: 224, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 380, Trucker: Michelle 'Miles Away' Anderson, Company: Starlight Freight Services, ID Num: C3, Price of Crate: 197, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 380, Trucker: Olivia 'Speedy Delivery' Young, Company: Sunrise Hauling Co., ID Num: C0, Price of Crate: 91, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 380, Trucker: Lisa 'Freight Fiend' Foster, Company: Golden Wheel Carriers, ID Num: C3, Price of Crate: 378, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 380, Trucker: Chris 'Thunderstruck' Martin, Company: Swift Roadways Ltd., ID Num: C1, Price of Crate: 386, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 380, Trucker: Jenny 'Road Racer' Adams, Company: Sunset Transport Systems, ID Num: C1, Price of Crate: 488, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 390, Trucker: Chris 'Haulin' Hope' Martinez, Company: Silver Arrow Shipping, ID Num: C2, Price of Crate: 360, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 390, Trucker: Michelle 'Miles Away' Anderson, Company: Starlight Freight Services, ID Num: C2, Price of Crate: 139, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 390, Trucker: Wendy 'High Beam' Turner, Company: High Gear Transport, ID Num: C4, Price of Crate: 132, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 390, Trucker: Shane 'Rig Rider' Price, Company: Eagle Transport Services, ID Num: C3, Price of Crate: 488, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 390, Trucker: Lisa 'Freight Fiend' Foster, Company: Golden Wheel Carriers, ID Num: C2, Price of Crate: 466, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 390, Trucker: Chris 'Thunderstruck' Martin, Company: Swift Roadways Ltd., ID Num: C0, Price of Crate: 299, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 390, Trucker: Jenny 'Road Racer' Adams, Company: Sunset Transport Systems, ID Num: C0, Price of Crate: 375, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 400, Trucker: Chris 'Haulin' Hope' Martinez, Company: Silver Arrow Shipping, ID Num: C1, Price of Crate: 74, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 400, Trucker: Michelle 'Miles Away' Anderson, Company: Starlight Freight Services, ID Num: C1, Price of Crate: 120, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 400, Trucker: Wendy 'High Beam' Turner, Company: High Gear Transport, ID Num: C3, Price of Crate: 212, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 400, Trucker: Shane 'Rig Rider' Price, Company: Eagle Transport Services, ID Num: C2, Price of Crate: 444, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 400, Trucker: Dave 'Cargo Cruiser' Williams, Company: Speedy Freight Express, ID Num: C0, Price of Crate: 380, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 400, Trucker: Erin 'Speedy Delivery' Thompson, Company: Blue Horizon Transports, ID Num: C1, Price of Crate: 437, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 400, Trucker: Lisa 'Freight Fiend' Foster, Company: Golden Wheel Carriers, ID Num: C1, Price of Crate: 316, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 410, Trucker: Chris 'Haulin' Hope' Martinez, Company: Silver Arrow Shipping, ID Num: C0, Price of Crate: 252, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 410, Trucker: Michelle 'Miles Away' Anderson, Company: Starlight Freight Services, ID Num: C0, Price of Crate: 469, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 410, Trucker: Wendy 'High Beam' Turner, Company: High Gear Transport, ID Num: C2, Price of Crate: 81, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 410, Trucker: Shane 'Rig Rider' Price, Company: Eagle Transport Services, ID Num: C1, Price of Crate: 278, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 410, Trucker: Erin 'Speedy Delivery' Thompson, Company: Blue Horizon Transports, ID Num: C0, Price of Crate: 347, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 410, Trucker: Carlos 'Cargo Commander' Foster, Company: Windy City Carriers, ID Num: C3, Price of Crate: 483, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 410, Trucker: Lisa 'Freight Fiend' Foster, Company: Golden Wheel Carriers, ID Num: C0, Price of Crate: 274, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 410, Trucker: Laura 'Highway Harmony' Collins, Company: Thunderstruck Transports, ID Num: C0, Price of Crate: 423, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 410, Trucker: Dana 'Mile Marker' Sanchez, Company: Cargo Masters Inc., ID Num: C2, Price of Crate: 410, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 420, Trucker: Wendy 'High Beam' Turner, Company: High Gear Transport, ID Num: C1, Price of Crate: 454, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 420, Trucker: Shane 'Rig Rider' Price, Company: Eagle Transport Services, ID Num: C0, Price of Crate: 460, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 420, Trucker: Steve 'Mud Flap' Garcia, Company: Green Line Express, ID Num: C0, Price of Crate: 449, Scenario: A crate was unloaded, and the truck was sent off.
Unload Time: 420, Trucker: Carlos 'Cargo Commander' Foster, Company: Windy City Carriers, ID Num: C2, Price of Crate: 56, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 420, Trucker: Dana 'Mile Marker' Sanchez, Company: Cargo Masters Inc., ID Num: C1, Price of Crate: 249, Scenario: A crate was unloaded, but the truck still has more crates to unload.
Unload Time: 430, Trucker: Michael 'Road Rescuer' Murphy, Company: Highway Haulers Co., ID Num: C4, Price of Crate: 427, Scenario: A crate was unloaded, but the truck still has more crates to unload.
